ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
U204	LTC3546	TSSOP-28	LTC3546
U205	BLUE_LED	3.00mmx1.50mm	APL3015QBC/D-F01
U206	LTC3546	TSSOP-28	LTC3546
U301	SD_CARD_SLOT	SDcardFromBone	SCHA5B0200
U302	FPGA_20_PIN_HEADER	2x10 pins, 1.02mmx3.18mm pad, 2.54 mm spacing	SSHSM-110-D-02-H-V-LF
U303	BLUE_LED	3.00x1.50mm	APL3015QBC/D-F01
U304	BLUE_LED	3.00x1.50mm	APL3015QBC/D-F01
U305	BLUE_LED	3.00x1.50mm	APL3015QBC/D-F01
U306	BLUE_LED	3.00x1.50mm	APL3015QBC/D-F01
U401	BEAGLEBONE	
U404	XRA1207	TSSOP-24	XRA1207IG24-F
U405	100MHZOSC	1.4x1.2mm, 5.08x3.7mm spacing	CB3LV-3I-100M0000
U406	EEPROM_SWITCH	6.2x6.02mm, pads: 3x1.1mm	A6S-2102-H
U407	CAT24C256	TSSOP-8	CAT24C256YI-GT3
U501	FPGA_20_PIN_HEADER	2x10 pins, 1.02mmx3.18mm pad, 2.54 mm spacing	SSHSM-110-D-02-H-V-LF
U601	FPGA_20_PIN_HEADER	2x10 pins, 1.02mmx3.18mm pad, 2.54 mm spacing	SSHSM-110-D-02-H-V-LF
U701	JTAG_CONN	6 Pins, 2.54mm spacing, 1.02 hole diameter	6 Pins, 2.54mm spacing, 1.02 hole diameter
U702	XC6SLX25FTG256	256 BGA	XC6SLX25FTG256
